0	2542	-1880	-32	46	105	238	
1	2539	-1889	-31	46	134	243	
2	2544	-1893	-26	45	163	245	
3	2448	-1941	99	81	326	210	
4	2212	-2259	336	41	166	107	
5	1690	-2183	130	-263	-244	133	
6	2491	-2336	-392	-272	-195	-15	
7	2768	-2940	172	-595	345	-381	
8	1440	-2923	873	-3	247	-112	
9	1654	-2452	1104	-80	-263	-570	
10	3054	-1749	775	-185	-219	-427	
11	2727	-2451	628	51	-24	310	
12	1498	-2109	483	39	-286	592	
13	1842	-1917	408	-22	-608	347	
14	2506	-1796	263	-11	-553	231	
15	2266	-1930	212	-12	-435	319	
16	1877	-2086	217	59	-454	171	
17	2106	-1989	263	99	-424	14	
18	2199	-1802	140	-11	-397	-132	
19	2043	-1853	35	-80	-328	-174	
20	2031	-2256	60	-66	-387	-69	
21	2308	-2349	7	-187	-358	-13	
22	2424	-2181	-186	-243	-139	-106	
23	2031	-2336	-306	-287	-230	-27	
24	2514	-2718	356	-174	-128	22	
25	3362	-2793	1109	-170	650	358	
26	2065	-2341	987	-105	826	503	
27	1286	-2392	821	103	-50	14	
28	2181	-2369	597	190	-166	-335	
29	2730	-2099	443	44	137	-274	
30	2501	-1791	346	84	487	-310	
31	2230	-1896	287	246	610	-358	
32	2135	-1983	306	265	596	-190	
33	2255	-2047	194	194	447	-158	
34	2332	-2016	199	152	339	-50	
35	2241	-1901	109	160	330	102	
36	2308	-1844	87	52	242	190	
37	2427	-1896	47	-62	261	203	
38	2385	-2066	167	-196	310	100	
39	1936	-2194	-46	-316	121	143	
40	2294	-2106	-214	-327	94	116	
41	2374	-2685	119	-401	339	-264	
42	1622	-2924	953	-3	341	-281	
43	1470	-2496	1175	-148	-195	-575	
44	2976	-2025	710	-325	-309	-446	
45	2649	-2543	392	-176	-29	253	
46	1696	-2216	379	-146	-169	395	
47	1901	-1946	339	-114	-465	196	
48	2298	-1711	299	31	-570	179	
49	2163	-1930	318	98	-563	154	
50	1990	-2159	233	32	-586	42	
51	2278	-2036	207	4	-468	-104	
52	2224	-1918	55	3	-371	-122	
53	2068	-1948	-17	-1	-395	-159	
54	2092	-1956	-28	-84	-402	-182	
55	2240	-2013	-117	-88	-308	-178	
56	2323	-2035	-24	-54	-115	-187	
57	2330	-1845	-175	-187	51	-179	
58	1793	-1985	-521	-404	-187	5	
59	1837	-2231	-169	-233	-518	104	
60	3335	-2686	878	84	-375	233	
61	3436	-3353	1116	-254	751	853	
62	1204	-2862	748	-22	40	696	
63	1620	-2826	509	54	-514	-185	
64	2955	-2579	481	196	-353	-444	
65	3037	-1767	401	148	359	-425	
66	2297	-1598	391	356	742	-299	
67	2013	-1811	342	361	643	-278	
68	2365	-2202	376	305	420	-117	
69	2407	-2225	442	146	230	-79	
70	2308	-2048	240	-33	122	-97	
71	2513	-2045	286	-8	126	-146	
72	2480	-2059	276	-44	168	-75	
