0	49	-2066	439	-7	25	-6	
1	36	-2071	431	-10	23	-9	
2	34	-2086	433	22	13	-7	
3	49	-2079	435	2	17	1	
4	54	-2063	425	10	21	-8	
5	33	-2070	450	9	12	-5	
6	37	-2064	440	-6	37	-1	
7	41	-2079	420	8	16	-10	
8	48	-2079	431	1	28	-3	
9	38	-2073	434	4	33	-10	
10	33	-2075	443	12	26	-9	
11	41	-2071	444	9	35	-1	
12	36	-2068	436	-10	14	-4	
13	37	-2077	446	3	16	-2	
14	43	-2069	438	24	22	-10	
15	35	-2078	446	9	11	-4	
16	50	-2072	457	11	26	-4	
17	34	-2059	452	15	14	-16	
18	44	-2067	446	2	26	-7	
19	39	-2077	451	8	22	-9	
20	35	-2068	442	13	15	-6	
21	54	-2078	446	12	22	-7	
22	48	-2063	458	4	6	-12	
23	47	-2068	433	-3	26	-7	
24	43	-2065	423	19	21	-9	
25	32	-2074	445	4	17	-7	
26	42	-2069	445	24	14	-5	
27	39	-2078	452	1	20	-9	
28	42	-2086	445	-4	11	-8	
29	42	-2071	442	-6	36	-6	
30	36	-2078	440	21	12	-5	
31	53	-2064	443	-2	22	-5	
32	35	-2075	453	0	-2	-8	
33	47	-2062	439	6	31	-2	
34	40	-2078	431	17	3	-13	
35	46	-2075	452	21	36	-3	
36	53	-2068	433	-3	26	-10	
37	34	-2064	456	6	10	-8	
38	30	-2064	443	-17	14	-2	
39	38	-2075	452	27	15	-6	
40	53	-2070	458	2	19	-8	
41	38	-2071	435	15	23	-11	
42	39	-2073	445	0	18	-5	
43	43	-2072	444	14	27	-7	
44	59	-2072	457	2	20	-8	
45	46	-2075	442	-10	12	-5	
46	33	-2073	456	15	13	-7	
47	48	-2075	451	-7	23	-5	
48	55	-2064	426	25	34	-7	
49	46	-2090	471	-1	25	-7	
50	43	-2057	438	6	39	-5	
51	34	-2081	463	-2	10	-5	
52	51	-2070	424	-7	11	-7	
53	42	-2072	448	17	12	-8	
54	44	-2062	447	-4	18	-6	
55	46	-2083	429	16	37	-6	
56	34	-2084	448	11	24	-9	
57	55	-2070	436	27	31	-11	
58	55	-2083	447	26	40	-7	
59	80	-2061	429	-8	93	-16	
60	81	-2089	452	22	105	-29	
61	91	-2103	444	87	116	-13	
62	72	-2098	456	101	110	-13	
63	88	-2045	436	148	171	8	
64	82	-2093	484	45	133	7	
65	86	-2060	428	108	127	7	
66	60	-2053	401	60	66	3	
67	46	-2105	489	63	-19	13	
68	63	-2054	513	140	-14	44	
69	73	-2029	517	-6	56	11	
70	114	-2071	548	25	100	-26	
71	123	-2038	537	-2	74	-50	
72	106	-2080	556	-21	94	-123	
73	-17	-2016	553	2	-189	-114	
74	65	-2158	598	-147	-110	-26	
75	35	-2055	628	74	18	-10	
76	102	-1958	526	68	-12	-138	
77	-231	-1879	353	-261	-124	-289	
78	-203	-2261	329	-573	-308	-136	
79	-18	-2313	226	82	-25	100	
80	-25	-2124	319	388	24	117	
81	-169	-2011	323	335	-88	53	
82	-102	-1976	314	364	-191	2	
83	-95	-1906	269	190	-295	-57	
84	-82	-1879	288	131	-401	-139	
85	220	-2149	705	-727	-642	36	
86	312	-2461	803	835	595	550	
87	264	-1854	209	-306	-103	-111	
88	240	-2412	659	-187	41	-177	
89	-129	-1809	397	467	632	-22	
90	105	-1725	854	-668	95	41	
91	56	-2024	626	-397	255	256	
92	289	-2136	504	-115	367	380	
93	380	-2069	362	-529	461	21	
94	123	-2347	414	-134	350	-66	
95	-7	-2051	417	217	295	-26	
96	-22	-1985	420	276	203	86	
97	-46	-2028	299	222	-41	187	
98	84	-2050	384	282	-17	215	
