0	2156	-2138	1268	183	19	92	
1	2140	-2122	1261	186	15	93	
2	2145	-2109	1262	182	7	102	
3	2134	-2025	1267	155	-23	106	
4	2151	-2046	1222	63	-44	69	
5	2185	-2158	1230	33	-80	24	
6	2225	-2180	1234	119	-59	35	
7	2184	-2118	1208	119	37	45	
8	2157	-2077	1241	108	52	3	
9	2141	-2045	1217	79	85	-31	
10	2149	-2093	1217	-15	98	-51	
11	2153	-2177	1223	-9	123	-43	
12	2141	-2199	1235	42	112	-5	
13	2123	-2173	1263	76	85	15	
14	2129	-2144	1277	108	70	23	
15	2167	-2156	1264	135	103	43	
16	2156	-2107	1275	167	99	13	
17	2168	-2053	1287	151	94	-32	
18	2182	-2088	1285	118	101	-55	
19	2147	-2103	1313	124	88	-64	
20	2138	-2112	1310	149	35	-109	
21	2167	-2087	1306	167	19	-112	
22	2151	-2087	1302	118	-7	-104	
23	2117	-2153	1318	81	-108	-66	
24	2146	-2193	1356	125	-158	39	
25	2175	-2113	1347	154	-141	107	
26	2190	-2065	1303	104	-137	140	
27	2213	-2096	1282	71	-108	107	
28	2247	-2116	1239	83	-37	61	
29	2305	-2158	1240	64	111	10	
30	2324	-2094	1207	128	226	-10	
31	2245	-1849	1173	74	238	10	
32	2209	-1813	1221	-171	354	-18	
33	2208	-2219	1320	-338	467	-200	
34	2266	-2623	1401	-34	454	-400	
35	2256	-2220	1204	711	660	-333	
36	1982	-1891	1018	221	672	-397	
37	1785	-2167	1054	-190	315	-238	
38	1899	-2369	1132	87	-30	56	
39	2042	-2092	1111	277	-115	191	
40	2244	-1991	1044	141	-188	209	
41	2288	-2079	1016	14	-136	118	
42	2206	-2114	996	113	-39	133	
43	2055	-2126	964	67	-100	212	
44	2072	-2172	916	67	-182	254	
45	2031	-2222	889	3	-297	360	
46	1857	-2309	936	-49	-357	453	
47	1784	-2372	973	90	-562	496	
48	1920	-2307	850	137	-671	495	
49	2234	-2312	944	-102	-342	458	
50	2590	-2675	1277	-368	315	455	
51	2262	-2519	1480	116	711	143	
52	1689	-1600	1775	347	252	-100	
53	1869	-1155	1671	-230	83	96	
54	2250	-1849	1565	-815	676	644	
55	2207	-2732	1473	-410	662	419	
56	1950	-2498	1327	212	406	-348	
57	1978	-1968	1272	308	372	-489	
58	2028	-1782	1175	13	492	-233	
59	2049	-1984	1119	-269	625	-94	
60	2031	-2220	1073	-24	543	-193	
61	1968	-2116	1011	222	470	-150	
62	1949	-1926	914	273	552	-8	
63	2182	-1912	826	66	694	23	
64	2234	-2013	832	-4	927	-111	
65	2046	-2208	954	-72	947	-347	
66	1845	-2464	1012	55	776	-366	
67	1913	-2446	744	294	739	-203	
68	1971	-2448	656	-142	438	-349	
69	1554	-2918	1203	-652	-23	-699	
70	1366	-2918	1450	505	-1087	-797	
71	2352	-1526	1683	634	-1049	-327	
72	2638	-1484	1751	-276	-376	-457	
73	2277	-2280	1717	-435	-125	-610	
74	1800	-2486	1291	449	-207	-19	
75	1950	-2066	1285	450	-328	495	
76	1994	-1608	1112	388	-610	449	
77	2053	-1635	1053	-175	-586	313	
78	2188	-2151	1010	-215	-739	250	
79	2222	-2146	930	209	-682	198	
80	2303	-2061	874	229	-643	130	
81	2227	-1912	924	235	-646	1	
