0	2063	19	2246	6	1	-1	
1	2065	22	2253	8	0	0	
2	2067	18	2256	7	3	-1	
3	2065	25	2245	8	1	2	
4	2065	26	2257	8	1	-7	
5	2060	23	2249	2	-1	2	
6	2061	16	2243	9	1	-1	
7	2064	23	2253	3	1	-2	
8	2071	20	2255	3	-4	-1	
9	2066	13	2251	9	1	1	
10	2065	21	2247	2	1	0	
11	2072	22	2246	7	0	-4	
12	2064	25	2250	5	2	-2	
13	2055	15	2252	3	-1	-3	
14	2069	22	2256	10	-1	0	
15	2070	19	2252	6	-2	3	
16	2063	20	2235	4	2	-3	
17	2075	27	2244	5	-4	-2	
18	2063	22	2238	4	-3	-1	
19	2069	18	2249	2	-1	-5	
20	2071	24	2247	3	-1	-2	
21	2065	20	2250	4	0	2	
22	2068	22	2259	6	-1	-4	
23	2070	16	2256	5	-2	-3	
24	2062	25	2251	8	1	-6	
25	2062	19	2251	4	1	-1	
26	2063	19	2236	4	0	2	
27	2064	26	2245	5	1	-3	
28	2064	15	2240	3	2	-2	
29	2064	23	2258	6	1	-2	
30	2068	28	2242	2	2	0	
31	2062	25	2264	4	3	1	
32	2069	19	2244	4	3	-4	
33	2072	22	2241	4	-3	-7	
34	2062	22	2242	3	-4	1	
35	2064	16	2257	4	1	-4	
36	2071	23	2254	4	1	-1	
37	2069	29	2258	7	-2	-1	
38	2069	13	2234	9	-1	3	
39	2058	23	2247	3	3	-5	
40	2067	33	2246	2	1	1	
41	2065	21	2255	2	-1	-1	
42	2063	20	2258	6	-1	-1	
43	2067	23	2256	4	0	1	
44	2062	24	2253	2	0	-2	
45	2060	18	2236	8	2	1	
46	2066	31	2259	5	-7	-3	
47	2065	24	2240	2	1	-4	
48	2055	19	2241	6	-3	-2	
49	2062	21	2259	6	-4	-3	
50	2070	23	2247	2	1	0	
51	2071	11	2249	5	-3	-3	
52	2067	25	2245	10	4	-2	
53	2057	22	2210	4	-2	-1	
54	2083	20	2224	2	1	-1	
55	2081	17	2264	4	1	-1	
56	2087	28	2262	1	3	-3	
57	2103	12	2268	9	-1	0	
58	2047	25	2190	7	-3	3	
59	2076	27	2265	8	-2	0	
60	2051	26	2241	5	-3	-2	
61	2060	22	2226	5	-1	0	
62	2058	16	2262	5	1	5	
63	2063	27	2263	2	0	2	
64	2064	22	2274	5	-4	-1	
65	2052	27	2250	8	-1	-3	
66	2057	26	2231	2	-5	-2	
67	2081	26	2262	4	4	-1	
68	2078	19	2249	7	2	-1	
69	2055	31	2252	5	-2	1	
70	2062	22	2221	1	-1	-1	
71	2065	24	2253	6	-1	-1	
72	2082	22	2284	2	6	1	
73	2068	20	2257	8	2	-1	
74	2058	21	2245	1	-3	0	
75	2058	27	2243	4	-1	-4	
