	-2181	342	24	-7	-1	
160	2205	-2179	332	-2	-9	1	
161	2208	-2175	331	7	-5	5	
162	2209	-2174	332	6	-9	12	
163	2210	-2180	336	10	-10	12	
164	2202	-2169	329	16	-7	14	
165	2215	-2174	318	15	-12	11	
166	2208	-2180	321	10	-16	16	
167	2207	-2166	313	9	-9	10	
168	2210	-2175	328	13	-9	7	
169	2204	-2162	324	5	-8	7	
170	2200	-2172	317	4	-8	4	
171	2203	-2167	323	-1	-19	7	
172	2205	-2171	307	-1	-18	4	
173	2218	-2179	334	5	-8	10	
174	2208	-2170	317	4	-6	7	
175	2216	-2185	324	1	-3	4	
176	2204	-2177	338	8	5	4	
177	2191	-2167	344	-2	0	6	
178	2210	-2172	339	8	7	4	
179	2194	-2174	324	3	-1	11	
180	2191	-2171	317	7	0	8	
181	2208	-2166	330	11	9	11	
182	2196	-2179	338	9	9	10	
183	2200	-2182	345	5	12	9	
184	2194	-2178	348	8	6	7	
185	2193	-2173	348	8	11	6	
186	2202	-2170	342	8	14	5	
187	2190	-2181	322	5	8	7	
188	2180	-2179	328	6	0	14	
189	2185	-2178	327	7	4	14	
190	2203	-2180	321	14	5	10	
191	2184	-2163	331	11	10	17	
192	2189	-2176	353	6	12	10	
193	2184	-2183	338	3	13	11	
194	2180	-2173	336	6	12	4	
195	2181	-2180	338	10	5	6	
196	2198	-2191	315	7	1	12	
197	2185	-2171	334	8	-4	7	
198	2166	-2172	341	9	-5	3	
199	2168	-2176	326	3	-21	13	
200	2181	-2184	346	4	-30	8	
201	2179	-2172	342	9	-37	10	
202	2182	-2187	337	9	-27	4	
203	2188	-2173	331	8	-30	0	
204	2193	-2178	346	9	-20	-1	
205	2191	-2172	360	4	-11	2	
206	2184	-2175	338	5	-5	-3	
207	2181	-2180	350	4	-4	-5	
208	2177	-2172	343	2	-7	-2	
209	2196	-2181	342	3	-1	-2	
210	2173	-2181	347	3	4	1	
211	2196	-2172	359	12	9	-9	
212	2194	-2177	355	9	17	-10	
213	2186	-2171	339	1	13	-12	
214	2183	-2181	322	1	8	-14	
215	2186	-2180	351	8	11	-16	
216	2183	-2179	345	-1	1	-18	
217	2192	-2175	332	-2	-3	-15	
218	2187	-2174	334	-10	-8	-16	
219	2201	-2182	329	0	-9	-22	
220	2204	-2165	311	-2	2	-21	
221	2197	-2169	347	7	1	-21	
222	2198	-2172	340	7	4	-16	
223	2190	-2169	339	7	-1	-21	
224	2202	-2179	327	0	-2	-26	
225	2200	-2175	336	-2	1	-19	
226	2202	-2181	342	2	8	-16	
227	2206	-2173	326	1	1	-22	
228	2208	-2173	341	-1	2	-17	
229	2214	-2173	331	-4	0	-18	
230	2208	-2173	352	-5	2	-18	
231	2218	-2171	338	-3	6	-24	
232	2223	-2178	327	0	15	-21	
233	2219	-2177	331	1	23	-14	
234	2219	-2171	339	5	23	-18	
235	2225	-2177	329	6	27	-24	
236	2221	-2175	322	7	31	-14	
237	2226	-2179	347	0	28	-15	
238	2210	-2168	325	-3	14	-25	
239	2228	-2173	334	1	1	-24	
240	2231	-2185	327	11	3	-11	
241	2217	-2171	327	16	2	-13	
242	2227	-2165	337	15	-2	-19	
243	2231	-2158	342	15	0	-14	
244	2224	-2177	342	12	-4	-17	
245	2229	-2175	340	7	-8	-12	
246	2224	-2161	342	6	-12	-4	
247	2229	-2166	348	14	-17	-7	
248	2231	-2174	342	3	-12	-11	
249	2233	-2188	337	5	-10	-2	
250	2237	-2168	340	17	-5	-1	
251	2232	-2172	344	18	-1	-3	
252	2241	-2173	346	17	3	-2	
253	2233	-2173	335	16	2	-2	
254	2237	-2171	356	17	5	-4	
255	2229	-2171	349	18	1	-2	
256	2231	-2160	348	20	0	1	
257	2233	-2180	351	18	-5	2	
258	2234	-2162	350	14	-6	2	
259	2226	-2171	356	16	0	-5	
260	2234	-2165	350	13	-2	-7	
261	2235	-2167	349	5	-5	-3	
262	2229	-2172	351	3	3	-2	
263	2241	-2171	346	6	4	3	
264	2236	-2174	344	6	12	3	
265	2231	-2160	348	4	11	-3	
266	2225	-2160	358	1	-2	4	
267	2235	-2168	349	5	4	-1	
268	2233	-2168	360	1	4	4	
269	2261	-2173	345	10	21	3	
270	2240	-2170	355	12	29	9	
271	2246	-2174	356	14	43	0	
272	2250	-2158	343	10	51	-5	
273	2243	-2179	357	5	56	-3	
274	2242	-2178	350	2	60	-6	
275	2238	-2178	349	3	49	-2	
276	2234	-2184	352	1	40	3	
277	2232	-2176	353	9	25	7	
278	2221	-2173	338	15	10	7	
279	2234	-2179	339	27	4	7	
280	2232	-2166	356	23	10	14	
281	2225	-2164	350	16	10	10	
282	2224	-2168	347	8	3	14	
283	2223	-2167	347	2	-10	9	
284	2221	-2174	354	-9	-7	8	
285	2210	-2165	366	-11	-22	6	
286	2217	-2181	367	-19	-37	4	
287	2235	-2168	359	-13	-23	11	
288	2226	-2182	350	-12	-15	14	
289	2227	-2168	357	2	-7	5	
290	2217	-2170	360	9	-12	13	
291	2225	-2165	364	-1	5	8	
292	2224	-2161	353	0	-6	13	
293	2230	-2170	351	-8	0	9	
294	2233	-2173	345	-4	17	9	
295	2220	-2166	348	3	16	11	
296	2220	-2162	350	-4	20	8	
297	2219	-2170	353	-9	16	13	
298	2210	-2172	341	-11	20	12	
299	2224	-2172	338	-5	6	9	
300	2210	-2177	336	4	26	14	
301	2200	-2177	345	12	14	16	
302	2196	-2184	346	12	7	22	
303	2216	-2166	343	10	0	13	
304	2197	-2173	350	16	9	23	
305	2200	-2184	370	9	4	25	
306	2214	-2166	359	-3	-3	22	
307	2198	-2160	345	-1	-1	30	
308	2198	-2180	349	4	-3	29	
309	2188	-2185	361	5	-10	35	
310	2160	-2166	355	-1	-21	41	
311	2158	-2166	338	13	-44	20	
312	2188	-2205	346	26	-64	33	
313	2181	-2170	362	5	-65	49	
314	2172	-2150	370	14	-64	38	
315	2171	-2169	352	20	-46	34	
316	2164	-2174	361	26	-43	32	
317	2169	-2170	360	14	-58	34	
318	2161	-2181	372	15	-66	33	
319	2159	-2180	368	10	-74	15	
320	2164	-2189	368	17	-75	25	
321	2171	-2175	363	5	-66	25	
322	2173	-2169	363	11	-56	17	
323	2185	-2174	363	4	-38	7	
324	2165	-2182	357	-3	-17	7	
325	2172	-2171	363	-3	1	6	
326	2174	-2172	367	-10	13	3	
327	2155	-2188	372	7	21	8	
328	2159	-2176	351	-14	16	6	
329	2163	-2177	352	0	25	3	
330	2168	-2184	357	-1	20	7	
331	2154	-2157	371	-12	16	9	
332	2160	-2175	364	-14	13	2	
333	2169	-2172	361	-17	15	2	
334	2151	-2173	359	-10	21	-4	
335	2162	-2166	358	-21	18	-15	
336	2161	-2180	349	-15	24	-10	
337	2148	-2171	341	-22	15	-15	
338	2149	-2183	344	-17	9	-21	
339	2154	-2175	356	-14	-9	-17	
340	2150	-2171	335	-21	-9	-20	
341	2153	-2176	336	-6	0	-14	
342	2158	-2181	336	-7	-1	-17	
343	2186	-2179	326	-15	-9	-17	
344	2187	-2177	343	-9	2	-14	
345	2181	-2176	343	-13	8	-20	
346	2191	-2179	331	-24	13	-26	
347	2182	-2180	330	-20	20	-16	
348	2184	-2180	324	-15	18	-19	
349	2179	-2175	327	-8	25	-18	
350	2186	-2173	316	-8	25	-7	
351	2186	-2174	320	-10	23	-15	
352	2180	-2165	334	-4	18	-4	
353	2175	-2174	328	1	34	-4	
354	2182	-2176	341	-6	37	-7	
355	2183	-2172	339	-16	24	-10	
356	2193	-2178	331	0	42	-9	
357	2177	-2191	323	-4	40	-9	
358	2187	-2176	310	5	35	-6	
359	2190	-2166	322	12	38	-11	
360	2182	-2173	324	3	42	-8	
361	2181	-2184	328	-2	38	-13	
362	2192	-2173	334	-8	36	-15	
363	2175	-2179	322	-6	33	-7	
364	2187	-2164	326	-12	41	-9	
365	2179	-2178	325	-17	34	-12	
366	2197	-2185	321	-9	40	-8	
367	2191	-2184	316	-2	43	0	
368	2174	-2167	321	-4	40	1	
369	2188	-2173	333	-4	30	2	
370	2176	-2170	325	-1	14	8	
371	2172	-2186	316	6	2	-1	
372	2187	-2168	317	11	-6	1	
373	2182	-2179	321	16	-27	2	
374	2189	-2183	324	6	-35	-5	
375	2203	-2177	328	3	-34	-13	
376	2200	-2171	329	9	-18	-15	
377	2186	-2166	331	10	-12	-20	
378	2195	-2187	319	3	-14	-25	
379	2198	-2176	321	1	-4	-19	
380	2191	-2173	318	1	-1	-34	
381	2198	-2183	320	0	-8	-31	
382	2198	-2166	322	-2	-10	-21	
383	2211	-2172	323	-9	-13	-25	
384	2224	-2155	319	-1	10	-4	
385	2217	-2193	323	-3	45	-10	
386	2218	-2189	334	-22	47	-25	
387	2201	-2163	314	-10	48	-10	
388	2205	-2177	324	-6	32	-13	
389	2209	-2177	323	-9	45	-11	
390	2196	-2165	334	-10	38	-16	
391	2207	-2172	326	-6	22	-13	
392	2207	-2171	328	-5	14	-5	
393	2219	-2161	320	-7	24	-9	
394	2221	-2170	334	5	49	-8	
395	2221	-2180	331	-6	66	-5	
396	2213	-2165	313	-7	75	-14	
397	2204	-2163	315	-2	78	-11	
398	2210	-2187	321	4	72	-8	
399	2202	-2182	320	-1	65	-4	
400	2184	-2182	328	9	49	-7	
401	2190	-2174	328	10	24	-9	
402	2200	-2182	305	5	-2	-9	
403	2206	-2182	319	4	-13	-5	
404	2189	-2167	320	17	-20	-2	
405	2208	-2171	331	15	-24	-11	
406	2220	-2192	306	17	-31	-7	
407	2212	-2177	319	21	-36	0	
408	2204	-2171	325	26	-36	-7	
409	2210	-2181	322	22	-34	-8	
410	2209	-2183	327	29	-22	6	
411	2207	-2163	313	23	-18	-1	
412	2223	-2166	316	25	-10	3	
413	2209	-2174	320	19	-3	1	
414	2218	-2174	324	4	-8	-6	
415	2215	-2176	318	8	0	-9	
416	2220	-2176	315	0	-3	-9	
417	2220	-2179	334	2	-4	-12	
418	2221	-2164	325	-7	-10	-8	
419	2220	-2172	336	-4	-6	-6	
420	2230	-2179	326	4	1	-10	
421	2219	-2183	331	4	-12	-9	
422	2217	-2164	321	0	-20	-10	
423	2233	-2167	320	3	-19	-9	
424	2230	-2178	320	0	-9	-6	
425	2219	-2174	321	2	-14	-6	
426	2229	-2176	329	6	-10	-5	
427	2226	-2174	327	5	-2	-6	
428	2225	-2176	329	3	6	-9	
429	2232	-2175	337	0	7	-10	
430	2237	-2181	343	4	12	-9	
431	2228	-2174	345	5	9	-6	
432	2233	-2171	336	7	7	-8	
433	2223	-2174	324	6	7	-3	
434	2224	-2178	321	0	-1	-4	
435	2221	-2165	342	3	-12	-2	
436	2220	-2164	334	3	-22	4	
437	2224	-2176	330	4	-28	2	
438	2218	-2179	336	14	-31	7	
439	2219	-2165	315	13	-37	15	
440	2220	-2166	323	22	-30	10	
441	2231	-2169	329	14	-26	6	
442	2227	-2179	315	8	-21	2	
443	2222	-2179	331	8	-14	7	
444	2214	-2155	328	8	-6	2	
445	2221	-2181	321	5	-7	4	
446	2220	-2169	325	1	-5	4	
447	2212	-2182	342	6	-9	3	
448	2214	-2173	333	8	-8	12	
449	2212	-2170	329	12	-5	9	
450	2213	-2174	331	12	-10	11	
451	2223	-2174	338	10	0	8	
452	2211	-2169	341	8	-7	11	
453	2220	-2179	320	7	-8	16	
454	2210	-2171	343	1	1	11	
455	2217	-2170	351	3	2	5	
456	2208	-2179	344	4	5	9	
457	2210	-2167	339	-1	6	11	
458	2210	-2176	341	6	-2	7	
459	2210	-2174	336	11	-5	6	
460	2205	-2179	342	15	-6	8	
461	2206	-2173	348	11	-16	4	
462	2200	-2178	333	9	-33	3	
463	2206	-2183	345	12	-38	8	
464	2209	-2176	338	8	-30	9	
465	2208	-2170	342	7	-20	1	
466	2212	-2183	340	8	-1	5	
467	2205	-2172	347	3	-11	6	
468	2210	-2179	343	5	-5	0	
469	2203	-2177	348	10	-4	11	
470	2201	-2172	344	9	-6	8	
471	2211	-2169	335	11	-3	0	
472	2213	-2174	342	11	1	9	
473	2205	-2178	347	5	6	5	
474	2206	-2180	343	6	8	-1	
475	2213	-2176	351	6	13	-3	
476	2211	-2174	346	8	14	-5	
477	2215	-2175	339	1	16	-5	
478	2216	-2166	329	-3	18	-5	
479	2214	-2187	324	10	29	-9	
480	2206	-2185	333	11	37	-14	
481	2195	-2153	358	16	38	-14	
482	2205	-2177	338	10	15	-9	
483	2212	-2184	340	1	6	-6	
484	2217	-2166	358	7	10	-6	
485	2230	-2176	341	5	17	-2	
486	2231	-2177	351	6	35	0	
487	2223	-2185	348	3	37	-8	
488	2235	-2179	340	16	43	-10	
489	2237	-2175	330	41	45	-15	
490	2231	-2180	337	48	36	-25	
491	2246	-2173	321	46	24	-12	
492	2267	-2163	328	39	44	-3	
