	-2181	342	24	-7	-1	
717	2207	-2182	310	21	-77	-7	
718	2209	-2188	306	25	-120	-20	
719	2185	-2174	322	25	-180	-22	
720	2177	-2182	314	26	-263	-3	
721	2152	-2199	310	49	-332	35	
722	2118	-2211	318	83	-416	89	
723	2048	-2223	327	113	-559	124	
724	2008	-2202	347	109	-683	122	
725	1971	-2189	346	103	-826	138	
726	1929	-2129	328	67	-987	71	
727	1973	-2123	291	57	-1146	56	
728	2024	-2171	291	32	-1257	74	
729	2069	-2197	274	32	-1273	31	
730	2072	-2176	328	41	-1261	-22	
731	2046	-2218	309	43	-1291	-5	
732	2034	-2201	326	55	-1311	10	
733	2009	-2120	338	75	-1310	-31	
734	2008	-2083	307	81	-1406	-104	
735	2083	-2163	350	83	-1516	-148	
736	2189	-2217	331	61	-1567	-153	
737	2303	-2209	362	138	-1565	-165	
738	2468	-2349	367	315	-1506	-91	
739	2296	-2240	236	532	-1366	181	
740	2277	-2077	158	561	-1535	55	
741	2457	-2132	118	456	-1555	88	
742	2477	-2200	76	350	-1479	111	
743	2400	-2251	156	270	-1439	8	
744	2363	-2190	188	208	-1428	-10	
745	2416	-2106	208	235	-1405	-34	
746	2482	-2064	238	235	-1353	-30	
747	2515	-2107	204	185	-1264	10	
748	2520	-2133	192	163	-1184	64	
749	2486	-2159	247	144	-1151	127	
750	2515	-2125	279	119	-1119	165	
751	2575	-2092	293	98	-1078	168	
752	2564	-2065	314	107	-1049	206	
753	2544	-2075	294	64	-1022	281	
754	2479	-2203	253	35	-831	305	
755	2446	-2265	390	122	-793	292	
756	2182	-2279	344	124	-736	261	
757	2382	-2097	340	-2	-616	46	
758	2476	-1968	336	-4	-383	96	
759	2229	-2091	387	27	-175	205	
760	2084	-2267	396	0	-219	143	
761	2176	-2277	385	-60	-275	107	
762	2322	-2135	352	-18	-173	90	
763	2333	-2102	312	-55	27	80	
764	2304	-2194	300	-70	212	74	
765	2226	-2196	330	-57	330	62	
766	2164	-2170	343	-50	362	51	
767	2147	-2179	345	-33	360	48	
768	2181	-2184	354	-53	375	25	
769	2201	-2166	322	-54	411	34	
770	2194	-2145	344	-42	455	28	
771	2184	-2182	331	-58	493	19	
772	2179	-2182	298	-86	512	0	
773	2197	-2176	281	-59	546	8	
774	2216	-2217	267	-37	619	5	
775	2224	-2215	295	-37	672	-1	
776	2186	-2171	276	-44	686	4	
777	2171	-2150	282	-30	667	12	
778	2186	-2184	261	-36	649	5	
779	2193	-2203	276	-17	652	4	
780	2175	-2199	289	-12	638	-2	
781	2185	-2228	329	12	729	-16	
782	2037	-2144	318	-7	697	19	
783	2138	-2182	303	-42	583	-6	
784	2170	-2156	293	-58	526	-35	
785	2152	-2177	292	-67	476	-43	
786	2200	-2208	304	-51	450	-28	
787	2185	-2190	300	-2	446	-28	
788	2149	-2154	325	-19	387	-37	
789	2171	-2161	314	-35	317	-35	
790	2168	-2197	314	-34	261	-37	
791	2142	-2189	326	-16	208	-37	
792	2145	-2173	326	-13	140	-17	
793	2157	-2176	318	-11	72	-23	
794	2151	-2181	329	3	3	-19	
795	2153	-2167	332	4	-59	-13	
796	2188	-2178	321	1	-102	-6	
797	2194	-2170	324	1	-121	-11	
798	2206	-2166	322	8	-113	-1	
799	2203	-2171	322	18	-101	-13	
800	2202	-2170	324	10	-103	-23	
801	2205	-2177	320	17	-82	-28	
802	2210	-2180	316	9	-86	-19	
803	2191	-2178	305	-12	-110	-22	
804	2214	-2177	309	-16	-123	-31	
805	2205	-2186	299	-1	-106	-19	
806	2198	-2174	310	-10	-101	-16	
807	2219	-2178	303	7	-81	-10	
808	2223	-2177	281	20	-45	-4	
809	2213	-2165	291	32	-17	-1	
810	2217	-2166	298	25	20	-2	
811	2213	-2166	305	15	50	-2	
812	2208	-2164	310	2	60	-6	
813	2212	-2173	300	-1	56	2	
814	2212	-2180	306	-4	41	-3	
815	2221	-2179	317	-8	26	-2	
816	2216	-2174	293	-2	15	-6	
817	2215	-2172	302	10	19	-11	
818	2198	-2167	293	19	24	-9	
819	2183	-2188	302	12	13	-8	
820	2212	-2177	309	1	-8	-16	
821	2221	-2171	315	1	-13	-8	
822	2215	-2168	310	5	-20	-5	
823	2227	-2183	319	15	-26	-7	
824	2221	-2174	319	8	-22	-8	
825	2215	-2169	316	-1	-26	-11	
826	2230	-2174	317	1	-16	-14	
827	2228	-2178	314	2	2	-15	
828	2215	-2175	297	4	31	-17	
829	2207	-2174	305	3	52	-12	
830	2196	-2175	313	2	48	-6	
831	2193	-2177	312	-7	40	-6	
832	2189	-2169	324	-32	4	7	
833	2208	-2175	313	-27	-4	6	
834	2214	-2171	301	-15	-25	17	
835	2203	-2176	298	-21	-39	8	
836	2207	-2178	294	-4	-55	5	
837	2198	-2184	314	12	-78	18	
838	2212	-2190	311	19	-102	20	
839	2216	-2184	296	37	-122	17	
840	2213	-2167	304	33	-130	22	
841	2218	-2178	287	34	-137	7	
842	2234	-2180	281	34	-124	11	
843	2239	-2157	298	38	-86	13	
844	2234	-2160	313	14	-48	0	
845	2235	-2166	313	0	-22	-4	
846	2229	-2180	293	12	-11	-6	
847	2231	-2165	304	8	6	4	
848	2203	-2173	306	-6	18	18	
849	2191	-2186	305	13	8	9	
850	2184	-2173	288	38	-9	9	
851	2218	-2174	304	20	-2	16	
852	2256	-2154	314	27	27	3	
853	2232	-2149	320	11	47	-2	
854	2236	-2178	315	-16	45	3	
855	2205	-2174	317	-28	27	12	
856	2179	-2178	328	-26	-8	-5	
857	2166	-2182	331	-29	-64	-10	
858	2204	-2163	330	-28	-108	-9	
859	2216	-2185	324	-18	-129	-7	
860	2200	-2190	314	-2	-138	-12	
861	2209	-2185	295	18	-130	-15	
862	2218	-2175	305	49	-126	-12	
863	2208	-2155	296	28	-115	-5	
864	2216	-2181	288	23	-89	-17	
865	2213	-2172	275	26	-66	-16	
866	2198	-2174	304	5	-70	2	
867	2182	-2182	302	5	-103	12	
868	2191	-2180	298	3	-162	24	
869	2171	-2185	303	21	-224	19	
870	2176	-2186	280	35	-313	16	
871	2160	-2189	295	52	-391	2	
872	2139	-2180	270	44	-491	17	
873	2135	-2176	291	74	-599	23	
874	2175	-2210	279	91	-699	23	
875	2171	-2189	275	101	-771	45	
876	2202	-2170	301	119	-832	52	
877	2238	-2183	300	146	-847	40	
878	2236	-2175	311	142	-838	43	
879	2259	-2169	333	140	-820	36	
880	2276	-2155	343	133	-787	50	
881	2246	-2174	353	139	-733	31	
882	2278	-2178	376	133	-708	5	
883	2313	-2145	364	124	-613	4	
884	2266	-2133	388	81	-564	28	
885	2259	-2121	408	21	-526	7	
886	2266	-2145	385	-2	-456	25	
887	2298	-2185	363	1	-358	19	
888	2366	-2169	363	-25	-236	-6	
889	2327	-2173	363	-21	-36	9	
890	2315	-2154	340	-43	128	-5	
891	2280	-2174	355	-16	246	4	
892	2257	-2187	343	-15	312	9	
893	2245	-2156	373	-30	305	4	
894	2226	-2149	361	-22	280	5	
895	2232	-2164	360	-14	255	15	
896	2216	-2191	348	-2	191	14	
897	2185	-2175	327	2	113	13	
898	2189	-2158	341	10	59	22	
899	2204	-2177	340	1	15	17	
900	2223	-2173	357	-24	-14	9	
901	2238	-2174	331	-23	-20	12	
902	2249	-2174	345	-8	-1	4	
903	2225	-2175	345	-6	13	3	
904	2225	-2169	346	-9	20	7	
905	2223	-2171	319	-3	14	3	
906	2224	-2176	341	-11	17	0	
907	2230	-2165	354	-19	24	8	
908	2229	-2170	329	-22	34	10	
909	2234	-2166	334	-19	69	16	
910	2244	-2160	327	-40	102	6	
911	2236	-2165	324	-35	120	2	
912	2222	-2184	331	-39	138	9	
913	2226	-2173	299	-28	143	8	
914	2221	-2167	316	-34	154	-5	
915	2219	-2182	305	-36	140	-3	
916	2208	-2178	325	-20	130	-7	
917	2203	-2180	303	-31	94	-12	
918	2223	-2186	313	-13	76	-3	
919	2218	-2180	311	-17	53	5	
920	2214	-2182	308	-11	14	3	
921	2223	-2179	298	0	-7	1	
922	2214	-2175	309	17	-19	2	
923	2205	-2173	314	9	-49	0	
924	2210	-2162	335	6	-60	6	
925	2209	-2170	316	-4	-87	-3	
926	2217	-2184	311	-8	-100	4	
927	2246	-2170	309	0	-81	-2	
928	2245	-2165	326	-2	-77	5	
929	2247	-2158	327	-6	-78	3	
930	2253	-2170	310	-2	-42	-3	
931	2245	-2175	318	28	6	-1	
932	2263	-2175	316	15	26	1	
933	2251	-2180	312	15	40	2	
934	2229	-2181	297	24	56	11	
935	2245	-2187	294	33	87	25	
936	2255	-2166	303	14	92	19	
937	2247	-2177	306	2	123	26	
938	2251	-2179	329	7	155	23	
939	2227	-2176	318	-28	143	14	
940	2246	-2157	321	-39	180	21	
941	2252	-2149	309	-40	213	33	
942	2221	-2181	291	-49	243	30	
943	2225	-2194	314	-2	272	36	
944	2222	-2169	311	-11	308	33	
945	2209	-2162	318	-3	344	34	
946	2183	-2176	318	-11	337	24	
947	2148	-2195	304	-6	295	30	
948	2129	-2183	320	1	252	40	
949	2155	-2181	334	-4	230	53	
950	2161	-2174	331	-3	237	73	
951	2198	-2182	318	14	295	93	
952	2185	-2192	327	21	395	111	
953	2210	-2168	339	7	518	98	
954	2154	-2185	347	-2	666	110	
955	2158	-2163	330	4	799	76	
956	2093	-2162	287	23	898	41	
957	2075	-2174	251	20	927	5	
958	2031	-2184	178	-11	889	-33	
959	1918	-2226	185	-28	771	-33	
960	1897	-2193	205	-22	663	-42	
961	1959	-2173	212	-40	633	-50	
962	1971	-2115	210	-65	627	-109	
963	2037	-2103	224	-118	584	-191	
964	2117	-2157	161	-162	547	-222	
965	2128	-2256	189	-131	535	-237	
966	2121	-2250	162	-131	491	-195	
967	1868	-2301	242	-61	482	-77	
968	2189	-2209	395	22	651	-170	
969	2208	-2116	332	-18	719	-170	
970	2023	-2187	361	-20	746	-89	
971	2170	-2116	367	5	818	-182	
972	2266	-2105	389	-64	879	-208	
973	2196	-2194	335	-174	954	-131	
974	2179	-2148	313	-146	939	-141	
975	2376	-2145	269	-161	976	-155	
976	2394	-2214	249	-153	1173	-120	
977	2353	-2246	247	-107	1302	-133	
978	2391	-2240	241	-100	1367	-168	
979	2387	-2178	230	-137	1446	-200	
980	2351	-2140	236	-125	1510	-216	
981	2280	-2179	236	-114	1541	-174	
982	2268	-2182	296	-101	1482	-140	
983	2283	-2193	291	-96	1402	-126	
984	2343	-2164	301	-115	1304	-136	
985	2372	-2182	249	-97	1250	-127	
986	2367	-2197	245	-71	1206	-102	
987	2345	-2156	234	-67	1170	-60	
988	2372	-2152	258	-77	1135	-52	
989	2372	-2076	289	-93	1075	-39	
990	2335	-2094	302	-160	998	-2	
991	2319	-2140	292	-180	901	39	
992	2298	-2122	294	-188	768	105	
993	2287	-2154	266	-197	669	134	
994	2341	-2221	271	-163	618	126	
995	2161	-2264	322	-114	539	186	
996	2161	-2246	373	-41	385	165	
997	2258	-2177	386	13	343	121	
